0,0,0,0,0,XXXX-XX-XX-to-XXXX-XX-XX
1,120889,44281,0,0,2018-09-21
2,218626,75730,187308,64590,2018-09-22
3,277843,93964,225532,73287,2018-09-23
4,314029,92014,245249,63577,2018-09-24
5,263184,76453,193856,47049,2018-09-25
6,255745,65363,191519,38907,2018-09-26
7,269334,60831,208152,36286,2018-09-27
8,263394,57568,203066,34434,2018-09-28
9,256614,59564,198718,37174,2018-09-29
10,267189,62848,208723,38555,2018-09-30
11,99118,20436,61069,6046,2018-10-01
15,74354,20763,59931,15280,2018-10-05
16,88041,28455,67767,20802,2018-10-06
17,223079,52798,182475,35397,2018-10-07
18,265081,50522,215032,29189,2018-10-08
19,235399,48468,183833,27357,2018-10-09
20,267531,45674,218226,25361,2018-10-10
21,372517,45201,320502,25748,2018-10-11
22,769036,46576,703384,27618,2018-10-12
23,588158,47589,505795,28881,2018-10-13
24,666032,50844,589301,31571,2018-10-14
25,746521,47040,659638,28121,2018-10-15
26,800953,45049,702582,26691,2018-10-16
27,846300,42503,740124,24980,2018-10-17
28,803156,40980,697412,24026,2018-10-18
29,749913,40097,652093,23403,2018-10-19
30,519536,41414,447219,24793,2018-10-20
31,594965,42775,531821,25616,2018-10-21
32,548271,40037,483186,23198,2018-10-22
33,512287,37299,449743,20794,2018-10-23
34,432912,37045,377574,20887,2018-10-24
35,474219,35903,421163,20268,2018-10-25
36,447989,34869,393748,19654,2018-10-26
37,465384,36571,412915,21744,2018-10-27
38,436040,38368,384528,22833,2018-10-28
39,514246,35318,461344,20292,2018-10-29
40,690655,34993,624459,20086,2018-10-30
41,745150,33637,660200,18962,2018-10-31
42,761745,33980,672103,19992,2018-11-01
43,682938,33289,600789,19409,2018-11-02
44,678015,34555,603623,20846,2018-11-03
45,633537,35375,562182,21326,2018-11-04
46,805165,34366,725378,20444,2018-11-05
47,746511,32051,655067,18201,2018-11-06
48,604298,31401,529176,17151,2018-11-07
49,762212,32655,685298,18069,2018-11-08
50,748811,33980,660408,19519,2018-11-09
51,768219,33512,678809,19243,2018-11-10
52,611037,31769,535975,17735,2018-11-11
53,660151,30408,592710,17766,2018-11-12
54,657093,29530,585701,17184,2018-11-13
55,664271,29178,591394,16894,2018-11-14
56,646116,29250,573291,16962,2018-11-15
57,727143,29244,651067,17227,2018-11-16
58,639816,30476,564438,18397,2018-11-17
59,652058,31948,582405,19407,2018-11-18
60,640505,28007,572214,16213,2018-11-19
61,654020,28235,584068,16668,2018-11-20
62,608516,27851,541994,16360,2018-11-21
63,575891,25932,514753,14701,2018-11-22
64,474822,26858,422561,15836,2018-11-23
65,516556,27952,468243,16835,2018-11-24
66,605823,27725,550471,16608,2018-11-25
67,610174,27267,549632,16600,2018-11-26
68,674268,25469,609569,14721,2018-11-27
69,666730,26812,595916,16192,2018-11-28
70,691448,25862,618863,15222,2018-11-29
